分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 38 ms, 最高速率: 106.60 M/s, 平均速率: 43.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 23, IPv6: 0, 最小延迟: 42 ms, 最高速率: 131.23 M/s, 平均速率: 55.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江西卫视, 有效: 4, IPv4: 34, IPv6: 0, 最小延迟: 42 ms, 最高速率: 141.60 M/s, 平均速率: 42.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 25, IPv6: 0, 最小延迟: 487 ms, 最高速率: 8.78 M/s, 平均速率: 3.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 山西卫视, 有效: 5, IPv4: 25, IPv6: 0, 最小延迟: 48 ms, 最高速率: 126.23 M/s, 平均速率: 44.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 青海卫视, 有效: 4, IPv4: 23, IPv6: 0, 最小延迟: 489 ms, 最高速率: 10.31 M/s, 平均速率: 3.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 36, IPv6: 0, 最小延迟: 45 ms, 最高速率: 127.26 M/s, 平均速率: 42.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 40 ms, 最高速率: 119.56 M/s, 平均速率: 27.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 2, IPv4: 23, IPv6: 0, 最小延迟: 1851 ms, 最高速率: 2.17 M/s, 平均速率: 2.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 4, IPv4: 9, IPv6: 0, 最小延迟: 136 ms, 最高速率: 6.48 M/s, 平均速率: 2.74 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 天津卫视, 有效: 3, IPv4: 25, IPv6: 0, 最小延迟: 446 ms, 最高速率: 11.65 M/s, 平均速率: 7.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 3, IPv4: 27, IPv6: 0, 最小延迟: 52 ms, 最高速率: 106.98 M/s, 平均速率: 42.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 云南卫视, 有效: 5, IPv4: 25, IPv6: 0, 最小延迟: 275 ms, 最高速率: 14.71 M/s, 平均速率: 8.77 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东珠江, 有效: 3, IPv4: 5, IPv6: 0, 最小延迟: 647 ms, 最高速率: 2.81 M/s, 平均速率: 1.26 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东体育, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 793 ms, 最高速率: 1.56 M/s, 平均速率: 1.56 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东新闻, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 2000 ms, 最高速率: 0.29 M/s, 平均速率: 0.29 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 4, IPv4: 33, IPv6: 0, 最小延迟: 254 ms, 最高速率: 15.11 M/s, 平均速率: 5.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️广东频道, 名称: 广州影视, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
